timestamp,power_watts,cadence_rpm,speed_kmh,distance_m,heart_rate_bpm
2025-09-19T23:51:36.800763,0,,,,
2025-09-19T23:51:37.790449,0,,,,
2025-09-19T23:51:38.794765,0,,,,
2025-09-19T23:51:39.800876,0,,,,
2025-09-19T23:51:40.790420,0,,,,
2025-09-19T23:51:41.795421,0,,,,
2025-09-19T23:51:42.800387,0,,,,
2025-09-19T23:51:43.790740,0,,,,
2025-09-19T23:51:44.795315,9,,1.8,,
2025-09-19T23:51:45.964607,9,,1.8,,
2025-09-19T23:51:46.940063,18,,3.6,,
2025-09-19T23:51:47.915988,19,,3.8000000000000003,,
2025-09-19T23:51:48.890541,19,,3.8000000000000003,,
